Median = 49335
table of frequencies:
[48, 1]
[80, 1]
[113, 1]
[129, 1]
[300, 1]
[480, 1]
[645, 1]
[729, 1]
[820, 1]
[896, 1]
[930, 1]
[981, 1]
[1152, 1]
[1210, 1]
[1568, 1]
[1723, 1]
[1941, 1]
[1975, 1]
[2178, 1]
[2237, 1]
[2317, 1]
[2352, 1]
[2374, 1]
[2505, 1]
[2626, 1]
[2694, 1]
[2722, 1]
[2723, 1]
[2876, 1]
[3008, 1]
[3096, 1]
[3237, 1]
[3320, 1]
[3640, 1]
[3680, 1]
[3808, 1]
[3898, 1]
[3959, 1]
[4091, 1]
[4165, 1]
[4364, 1]
[4602, 1]
[4970, 1]
[5131, 1]
[5138, 1]
[5141, 1]
[5199, 1]
[5308, 1]
[5322, 1]
[5437, 1]
[5513, 1]
[5559, 1]
[5572, 1]
[5646, 1]
[5818, 1]
[6114, 1]
[6147, 1]
[6194, 1]
[6567, 1]
[6606, 1]
[6959, 1]
[6965, 1]
[6971, 1]
[7178, 1]
[7334, 1]
[7341, 1]
[7382, 1]
[7437, 1]
[7568, 1]
[7598, 1]
[7648, 1]
[7783, 1]
[7874, 1]
[7903, 1]
[8254, 1]
[8463, 1]
[8636, 1]
[8656, 1]
[8757, 1]
[9065, 1]
[9114, 1]
[9402, 1]
[9426, 1]
[9453, 1]
[9474, 1]
[9536, 1]
[9585, 1]
[9683, 1]
[9696, 1]
[9701, 1]
[9780, 1]
[9894, 1]
[10077, 1]
[10114, 1]
[10119, 1]
[10193, 1]
[10233, 1]
[10280, 1]
[10465, 1]
[10691, 1]
[10809, 1]
[10904, 1]
[10941, 1]
[10957, 1]
[10960, 1]
[11065, 1]
[11125, 1]
[11293, 1]
[11304, 1]
[11403, 1]
[11439, 1]
[11449, 1]
[11554, 1]
[11741, 1]
[11759, 1]
[11805, 1]
[11811, 1]
[11838, 1]
[11915, 1]
[12026, 1]
[12078, 1]
[12166, 1]
[12204, 1]
[12474, 1]
[12487, 1]
[12703, 1]
[12943, 1]
[12947, 1]
[13040, 1]
[13061, 1]
[13216, 1]
[13218, 1]
[13389, 1]
[13406, 1]
[13436, 1]
[13481, 1]
[13812, 1]
[13823, 1]
[13924, 1]
[13995, 1]
[14018, 1]
[14023, 2]
[14575, 1]
[14593, 1]
[14651, 1]
[14775, 1]
[14785, 1]
[14825, 1]
[14833, 1]
[14920, 1]
[14922, 1]
[14929, 1]
[15195, 1]
[15258, 1]
[15394, 1]
[15502, 1]
[15514, 1]
[15539, 1]
[15674, 1]
[15732, 1]
[15964, 1]
[16179, 1]
[16221, 1]
[16458, 1]
[16502, 1]
[16531, 1]
[16638, 1]
[16704, 1]
[16736, 1]
[16779, 1]
[16862, 1]
[17036, 1]
[17120, 1]
[17150, 1]
[17250, 1]
[17385, 1]
[17469, 1]
[17542, 1]
[17550, 1]
[17685, 1]
[17916, 1]
[18025, 1]
[18048, 1]
[18070, 1]
[18232, 1]
[18271, 1]
[18316, 1]
[18393, 1]
[18403, 1]
[18476, 1]
[18556, 1]
[18605, 1]
[18640, 1]
[18678, 1]
[18771, 1]
[18786, 1]
[19032, 1]
[19051, 1]
[19064, 1]
[19128, 1]
[19203, 1]
[19310, 1]
[19485, 1]
[19580, 1]
[19585, 1]
[19625, 1]
[19705, 1]
[19722, 1]
[19809, 1]
[19846, 1]
[19904, 1]
[19966, 1]
[20002, 1]
[20092, 1]
[20192, 1]
[20239, 1]
[20260, 1]
[20344, 1]
[20563, 1]
[20598, 1]
[21097, 1]
[21121, 1]
[21364, 1]
[21420, 1]
[21533, 1]
[21592, 1]
[21676, 1]
[21707, 1]
[21715, 1]
[21903, 1]
[22132, 1]
[22152, 1]
[22294, 1]
[22308, 1]
[22325, 1]
[22361, 1]
[22404, 1]
[22739, 1]
[22740, 1]
[22741, 1]
[22766, 1]
[22790, 1]
[22804, 1]
[23034, 1]
[23082, 1]
[23168, 1]
[23361, 1]
[23437, 1]
[23584, 1]
[23784, 1]
[23873, 1]
[24360, 1]
[24393, 1]
[24465, 1]
[24535, 1]
[24816, 1]
[24946, 1]
[25169, 1]
[25170, 1]
[25317, 1]
[25404, 1]
[25441, 1]
[25454, 1]
[25518, 1]
[25637, 1]
[25702, 1]
[25850, 1]
[25983, 1]
[26054, 1]
[26221, 1]
[26242, 1]
[26471, 1]
[26584, 1]
[26623, 1]
[26712, 1]
[26717, 1]
[26755, 1]
[26803, 1]
[26844, 1]
[26849, 1]
[26921, 1]
[26955, 1]
[26997, 1]
[27059, 1]
[27175, 1]
[27205, 1]
[27237, 1]
[27238, 1]
[27304, 1]
[27308, 1]
[27434, 1]
[27636, 1]
[27731, 1]
[27740, 1]
[27744, 1]
[27838, 1]
[27898, 1]
[28124, 1]
[28290, 1]
[28325, 1]
[28664, 1]
[28840, 1]
[28970, 1]
[29148, 1]
[29370, 1]
[29640, 1]
[29857, 1]
[30270, 1]
[30405, 1]
[30467, 1]
[30552, 1]
[30578, 1]
[30673, 1]
[30694, 1]
[30789, 1]
[31093, 1]
[31112, 1]
[31199, 1]
[31281, 1]
[31301, 1]
[31380, 1]
[31405, 1]
[31644, 1]
[31661, 1]
[31691, 1]
[31830, 1]
[31888, 1]
[31981, 1]
[32023, 1]
[32180, 1]
[32257, 1]
[32404, 1]
[32680, 1]
[32702, 1]
[32769, 1]
[33030, 1]
[33139, 1]
[33149, 1]
[33166, 1]
[33210, 1]
[33279, 1]
[33379, 1]
[33422, 1]
[33571, 1]
[33767, 1]
[33829, 1]
[34112, 1]
[34134, 1]
[34141, 1]
[34177, 1]
[34562, 1]
[34563, 1]
[34679, 1]
[34928, 1]
[35119, 1]
[35177, 1]
[35204, 1]
[35314, 1]
[35327, 1]
[35361, 1]
[35511, 1]
[35563, 1]
[35748, 1]
[35852, 1]
[35909, 1]
[35937, 1]
[35961, 1]
[36187, 1]
[36223, 1]
[36453, 1]
[36476, 1]
[36618, 1]
[36687, 1]
